Datum,Innehåll,Videotitel,Publiceringstid för video,Visningar
2024-08-13,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-14,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-15,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-16,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-17,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-18,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-19,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-20,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-21,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-22,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-23,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-24,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-25,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-26,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1
2024-08-27,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",3
2024-08-28,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",0
2024-08-29,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1
2024-08-30,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",11
2024-08-31,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",3
2024-09-01,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",8
2024-09-02,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",16
2024-09-03,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",5
2024-09-04,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",2
2024-09-05,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",10
2024-09-06,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",6
2024-09-07,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",1
2024-09-08,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",5
2024-09-09,IUMdhf_vsMs,Setup dbt (coding),"Aug 26, 2024",18
2024-08-13,KOn6XRDrT8s,Setup dlt part 3 - loading csv file into snowflake (coding),"Aug 18, 2024",0
