Datum,Prenumerationskälla,Prenumeranter
2024-08-13,Annat,0
2024-08-14,Annat,0
2024-08-15,Annat,0
2024-08-16,Annat,0
2024-08-17,Annat,0
2024-08-18,Annat,0
2024-08-19,Annat,0
2024-08-20,Annat,0
2024-08-21,Annat,0
2024-08-22,Annat,-1
2024-08-23,Annat,0
2024-08-24,Annat,0
2024-08-25,Annat,0
2024-08-26,Annat,0
2024-08-27,Annat,0
2024-08-28,Annat,0
2024-08-29,Annat,-1
2024-08-30,Annat,0
2024-08-31,Annat,0
2024-09-01,Annat,0
2024-09-02,Annat,0
2024-09-03,Annat,0
2024-09-04,Annat,0
2024-09-05,Annat,0
2024-09-06,Annat,0
2024-09-07,Annat,0
2024-09-08,Annat,0
2024-09-09,Annat,0
2024-08-13,YouTubes visningssida,0
2024-08-14,YouTubes visningssida,0
2024-08-15,YouTubes visningssida,0
2024-08-16,YouTubes visningssida,0
2024-08-17,YouTubes visningssida,0
2024-08-18,YouTubes visningssida,0
2024-08-19,YouTubes visningssida,1
2024-08-20,YouTubes visningssida,2
2024-08-21,YouTubes visningssida,0
2024-08-22,YouTubes visningssida,3
2024-08-23,YouTubes visningssida,2
2024-08-24,YouTubes visningssida,0
2024-08-25,YouTubes visningssida,0
2024-08-26,YouTubes visningssida,1
2024-08-27,YouTubes visningssida,2
2024-08-28,YouTubes visningssida,0
2024-08-29,YouTubes visningssida,2
2024-08-30,YouTubes visningssida,0
2024-08-31,YouTubes visningssida,2
2024-09-01,YouTubes visningssida,0
2024-09-02,YouTubes visningssida,0
2024-09-03,YouTubes visningssida,1
2024-09-04,YouTubes visningssida,0
2024-09-05,YouTubes visningssida,0
2024-09-06,YouTubes visningssida,0
2024-09-07,YouTubes visningssida,0
2024-09-08,YouTubes visningssida,1
2024-09-09,YouTubes visningssida,0
2024-08-13,Stängda konton,0
2024-08-14,Stängda konton,0
2024-08-15,Stängda konton,0
2024-08-16,Stängda konton,0
2024-08-17,Stängda konton,0
2024-08-18,Stängda konton,0
2024-08-19,Stängda konton,0
2024-08-20,Stängda konton,0
2024-08-21,Stängda konton,0
2024-08-22,Stängda konton,0
2024-08-23,Stängda konton,0
2024-08-24,Stängda konton,0
2024-08-25,Stängda konton,0
2024-08-26,Stängda konton,0
2024-08-27,Stängda konton,0
2024-08-28,Stängda konton,0
2024-08-29,Stängda konton,0
2024-08-30,Stängda konton,0
2024-08-31,Stängda konton,0
2024-09-01,Stängda konton,-1
2024-09-02,Stängda konton,0
2024-09-03,Stängda konton,0
2024-09-04,Stängda konton,0
2024-09-05,Stängda konton,0
2024-09-06,Stängda konton,0
2024-09-07,Stängda konton,0
2024-09-08,Stängda konton,0
2024-09-09,Stängda konton,0
2024-08-13,Din YouTube-kanal,0
2024-08-14,Din YouTube-kanal,0
2024-08-15,Din YouTube-kanal,0
2024-08-16,Din YouTube-kanal,0
2024-08-17,Din YouTube-kanal,1
2024-08-18,Din YouTube-kanal,0
2024-08-19,Din YouTube-kanal,1
2024-08-20,Din YouTube-kanal,1
2024-08-21,Din YouTube-kanal,0
2024-08-22,Din YouTube-kanal,1
2024-08-23,Din YouTube-kanal,0
2024-08-24,Din YouTube-kanal,0
2024-08-25,Din YouTube-kanal,1
2024-08-26,Din YouTube-kanal,0
2024-08-27,Din YouTube-kanal,1
2024-08-28,Din YouTube-kanal,0
2024-08-29,Din YouTube-kanal,1
2024-08-30,Din YouTube-kanal,1
2024-08-31,Din YouTube-kanal,0
2024-09-01,Din YouTube-kanal,1
2024-09-02,Din YouTube-kanal,0
2024-09-03,Din YouTube-kanal,0
2024-09-04,Din YouTube-kanal,0
2024-09-05,Din YouTube-kanal,0
2024-09-06,Din YouTube-kanal,0
2024-09-07,Din YouTube-kanal,0
2024-09-08,Din YouTube-kanal,0
2024-09-09,Din YouTube-kanal,0
