Datum,Trafikkälla,Visningar
2024-08-13,Direkt eller okänd,0
2024-08-14,Direkt eller okänd,0
2024-08-15,Direkt eller okänd,0
2024-08-16,Direkt eller okänd,0
2024-08-17,Direkt eller okänd,16
2024-08-18,Direkt eller okänd,1
2024-08-19,Direkt eller okänd,2
2024-08-20,Direkt eller okänd,12
2024-08-21,Direkt eller okänd,3
2024-08-22,Direkt eller okänd,9
2024-08-23,Direkt eller okänd,7
2024-08-24,Direkt eller okänd,16
2024-08-25,Direkt eller okänd,9
2024-08-26,Direkt eller okänd,10
2024-08-27,Direkt eller okänd,11
2024-08-28,Direkt eller okänd,13
2024-08-29,Direkt eller okänd,11
2024-08-30,Direkt eller okänd,21
2024-08-31,Direkt eller okänd,2
2024-09-01,Direkt eller okänd,5
2024-09-02,Direkt eller okänd,19
2024-09-03,Direkt eller okänd,12
2024-09-04,Direkt eller okänd,3
2024-09-05,Direkt eller okänd,18
2024-09-06,Direkt eller okänd,8
2024-09-07,Direkt eller okänd,1
2024-09-08,Direkt eller okänd,14
2024-09-09,Direkt eller okänd,3
2024-08-13,Bläddringsfunktioner,0
2024-08-14,Bläddringsfunktioner,0
2024-08-15,Bläddringsfunktioner,0
2024-08-16,Bläddringsfunktioner,0
2024-08-17,Bläddringsfunktioner,20
2024-08-18,Bläddringsfunktioner,11
2024-08-19,Bläddringsfunktioner,5
2024-08-20,Bläddringsfunktioner,6
2024-08-21,Bläddringsfunktioner,8
2024-08-22,Bläddringsfunktioner,4
2024-08-23,Bläddringsfunktioner,6
2024-08-24,Bläddringsfunktioner,12
2024-08-25,Bläddringsfunktioner,3
2024-08-26,Bläddringsfunktioner,3
2024-08-27,Bläddringsfunktioner,15
2024-08-28,Bläddringsfunktioner,4
2024-08-29,Bläddringsfunktioner,13
2024-08-30,Bläddringsfunktioner,12
2024-08-31,Bläddringsfunktioner,9
2024-09-01,Bläddringsfunktioner,9
2024-09-02,Bläddringsfunktioner,4
2024-09-03,Bläddringsfunktioner,6
2024-09-04,Bläddringsfunktioner,3
2024-09-05,Bläddringsfunktioner,5
2024-09-06,Bläddringsfunktioner,0
2024-09-07,Bläddringsfunktioner,2
2024-09-08,Bläddringsfunktioner,11
2024-09-09,Bläddringsfunktioner,7
2024-08-13,Kanalsidorna,0
2024-08-14,Kanalsidorna,0
2024-08-15,Kanalsidorna,0
2024-08-16,Kanalsidorna,0
2024-08-17,Kanalsidorna,3
2024-08-18,Kanalsidorna,0
2024-08-19,Kanalsidorna,2
2024-08-20,Kanalsidorna,2
2024-08-21,Kanalsidorna,5
2024-08-22,Kanalsidorna,32
2024-08-23,Kanalsidorna,2
2024-08-24,Kanalsidorna,3
2024-08-25,Kanalsidorna,2
2024-08-26,Kanalsidorna,8
2024-08-27,Kanalsidorna,12
2024-08-28,Kanalsidorna,4
2024-08-29,Kanalsidorna,3
2024-08-30,Kanalsidorna,5
2024-08-31,Kanalsidorna,2
2024-09-01,Kanalsidorna,3
2024-09-02,Kanalsidorna,0
2024-09-03,Kanalsidorna,1
2024-09-04,Kanalsidorna,3
2024-09-05,Kanalsidorna,1
2024-09-06,Kanalsidorna,0
2024-09-07,Kanalsidorna,1
2024-09-08,Kanalsidorna,0
2024-09-09,Kanalsidorna,13
2024-08-13,YouTube-sökning,0
2024-08-14,YouTube-sökning,1
2024-08-15,YouTube-sökning,0
2024-08-16,YouTube-sökning,0
2024-08-17,YouTube-sökning,14
2024-08-18,YouTube-sökning,12
2024-08-19,YouTube-sökning,13
2024-08-20,YouTube-sökning,8
2024-08-21,YouTube-sökning,3
2024-08-22,YouTube-sökning,2
2024-08-23,YouTube-sökning,1
2024-08-24,YouTube-sökning,1
2024-08-25,YouTube-sökning,1
2024-08-26,YouTube-sökning,7
2024-08-27,YouTube-sökning,4
2024-08-28,YouTube-sökning,2
2024-08-29,YouTube-sökning,4
2024-08-30,YouTube-sökning,1
2024-08-31,YouTube-sökning,5
2024-09-01,YouTube-sökning,5
2024-09-02,YouTube-sökning,6
2024-09-03,YouTube-sökning,3
2024-09-04,YouTube-sökning,3
2024-09-05,YouTube-sökning,1
2024-09-06,YouTube-sökning,3
2024-09-07,YouTube-sökning,3
2024-09-08,YouTube-sökning,3
2024-09-09,YouTube-sökning,12
2024-08-13,Videoförslag,0
2024-08-14,Videoförslag,0
2024-08-15,Videoförslag,0
2024-08-16,Videoförslag,0
2024-08-17,Videoförslag,2
2024-08-18,Videoförslag,0
2024-08-19,Videoförslag,3
2024-08-20,Videoförslag,11
2024-08-21,Videoförslag,23
2024-08-22,Videoförslag,28
2024-08-23,Videoförslag,26
2024-08-24,Videoförslag,8
2024-08-25,Videoförslag,16
2024-08-26,Videoförslag,21
2024-08-27,Videoförslag,21
2024-08-28,Videoförslag,24
2024-08-29,Videoförslag,17
2024-08-30,Videoförslag,25
2024-08-31,Videoförslag,10
2024-09-01,Videoförslag,15
2024-09-02,Videoförslag,18
2024-09-03,Videoförslag,8
2024-09-04,Videoförslag,9
2024-09-05,Videoförslag,16
2024-09-06,Videoförslag,10
2024-09-07,Videoförslag,8
2024-09-08,Videoförslag,11
2024-09-09,Videoförslag,28
2024-08-13,Andra YouTube-funktioner,0
2024-08-14,Andra YouTube-funktioner,0
2024-08-15,Andra YouTube-funktioner,0
2024-08-16,Andra YouTube-funktioner,0
2024-08-17,Andra YouTube-funktioner,2
2024-08-18,Andra YouTube-funktioner,0
2024-08-19,Andra YouTube-funktioner,2
2024-08-20,Andra YouTube-funktioner,4
2024-08-21,Andra YouTube-funktioner,0
2024-08-22,Andra YouTube-funktioner,4
2024-08-23,Andra YouTube-funktioner,0
2024-08-24,Andra YouTube-funktioner,0
2024-08-25,Andra YouTube-funktioner,1
2024-08-26,Andra YouTube-funktioner,1
2024-08-27,Andra YouTube-funktioner,0
2024-08-28,Andra YouTube-funktioner,0
2024-08-29,Andra YouTube-funktioner,1
2024-08-30,Andra YouTube-funktioner,0
2024-08-31,Andra YouTube-funktioner,2
2024-09-01,Andra YouTube-funktioner,1
2024-09-02,Andra YouTube-funktioner,2
2024-09-03,Andra YouTube-funktioner,3
2024-09-04,Andra YouTube-funktioner,6
2024-09-05,Andra YouTube-funktioner,6
2024-09-06,Andra YouTube-funktioner,0
2024-09-07,Andra YouTube-funktioner,0
2024-09-08,Andra YouTube-funktioner,1
2024-09-09,Andra YouTube-funktioner,5
2024-08-13,Externt,1
2024-08-14,Externt,0
2024-08-15,Externt,0
2024-08-16,Externt,1
2024-08-17,Externt,4
2024-08-18,Externt,4
2024-08-19,Externt,42
2024-08-20,Externt,37
2024-08-21,Externt,26
2024-08-22,Externt,63
2024-08-23,Externt,56
2024-08-24,Externt,25
2024-08-25,Externt,46
2024-08-26,Externt,67
2024-08-27,Externt,43
2024-08-28,Externt,34
2024-08-29,Externt,46
2024-08-30,Externt,58
2024-08-31,Externt,23
2024-09-01,Externt,80
2024-09-02,Externt,105
2024-09-03,Externt,20
2024-09-04,Externt,30
2024-09-05,Externt,53
2024-09-06,Externt,36
2024-09-07,Externt,24
2024-09-08,Externt,11
2024-09-09,Externt,73
2024-08-13,Spellistor,0
2024-08-14,Spellistor,0
2024-08-15,Spellistor,0
2024-08-16,Spellistor,0
2024-08-17,Spellistor,0
2024-08-18,Spellistor,0
2024-08-19,Spellistor,0
2024-08-20,Spellistor,0
2024-08-21,Spellistor,0
2024-08-22,Spellistor,1
2024-08-23,Spellistor,0
2024-08-24,Spellistor,0
2024-08-25,Spellistor,0
2024-08-26,Spellistor,0
2024-08-27,Spellistor,0
2024-08-28,Spellistor,0
2024-08-29,Spellistor,0
2024-08-30,Spellistor,0
2024-08-31,Spellistor,0
2024-09-01,Spellistor,0
2024-09-02,Spellistor,0
2024-09-03,Spellistor,0
2024-09-04,Spellistor,0
2024-09-05,Spellistor,1
2024-09-06,Spellistor,0
2024-09-07,Spellistor,0
2024-09-08,Spellistor,1
2024-09-09,Spellistor,0
2024-08-13,Aviseringar,0
2024-08-14,Aviseringar,0
2024-08-15,Aviseringar,0
2024-08-16,Aviseringar,0
2024-08-17,Aviseringar,0
2024-08-18,Aviseringar,0
2024-08-19,Aviseringar,0
2024-08-20,Aviseringar,2
2024-08-21,Aviseringar,1
2024-08-22,Aviseringar,1
2024-08-23,Aviseringar,1
2024-08-24,Aviseringar,2
2024-08-25,Aviseringar,0
2024-08-26,Aviseringar,0
2024-08-27,Aviseringar,0
2024-08-28,Aviseringar,0
2024-08-29,Aviseringar,1
2024-08-30,Aviseringar,0
2024-08-31,Aviseringar,0
2024-09-01,Aviseringar,0
2024-09-02,Aviseringar,0
2024-09-03,Aviseringar,1
2024-09-04,Aviseringar,0
2024-09-05,Aviseringar,1
2024-09-06,Aviseringar,0
2024-09-07,Aviseringar,1
2024-09-08,Aviseringar,1
2024-09-09,Aviseringar,1
