,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Södermanland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra Götaland,Örebro,Östergötland
2007,14,21,0,15,14,9,31,18,23,8,96,113,20,11,29,9,22,7,113,13,19
2008,18,24,0,15,13,7,33,14,24,10,95,118,17,12,33,8,19,7,110,14,23
2009,13,21,0,16,13,5,26,16,27,12,91,121,17,15,22,8,19,7,113,15,25
2010,9,21,0,14,17,6,26,19,21,10,102,139,16,14,24,12,24,18,128,16,20
2011,12,22,1,10,18,6,30,16,16,11,104,145,12,15,23,13,22,18,112,15,25
2012,8,28,1,10,9,7,21,13,15,8,93,126,11,11,18,12,22,18,112,15,26
2013,8,35,0,14,20,9,27,17,19,10,97,152,9,12,20,9,20,20,126,15,26
2014,9,24,0,15,19,8,28,18,16,13,107,153,15,17,21,16,25,18,131,17,28
2015,8,18,0,14,14,8,25,17,14,11,110,162,11,20,16,12,26,19,148,17,31
2016,8,16,1,15,17,7,28,14,10,13,104,189,15,16,15,8,24,17,165,23,34
2017,8,14,1,16,16,6,34,10,8,14,99,198,16,12,21,13,26,19,179,21,36
2018,8,15,3,20,18,12,42,11,9,13,114,215,15,19,22,11,22,20,196,21,38
2019,11,19,2,19,19,13,54,9,14,17,132,268,19,19,26,15,33,22,230,28,45
2020,14,23,2,22,25,13,63,11,16,23,158,363,24,22,35,24,44,28,286,42,53
2021,12,20,1,15,18,12,52,14,16,21,143,265,24,19,27,23,43,26,233,32,45
2022,12,18,0,15,19,11,53,15,17,23,150,278,22,20,29,26,42,24,226,28,46
2023,9,17,0,16,14,12,52,13,20,28,150,275,28,15,31,28,42,24,237,27,50
